Wie sind Geschäftsprozesse?	Leistungsorientiert (Generierung, Transport, Verwendung)	Leistungsorientiert
Für wen geschieht die Leistungserbringung?	Kunden bzw. Leistungsempfänger<br><ul><li>Herstellung und Vertrieb von Erzeugnissen</li><li>Abarbeitung einer administrativen Aufgabe</li></ul>	
Was bedeutet Geschäftsprozessoptimierung auch?	Das Unternehmen ständig in Frage zu stellen. Laufende optimierende Anpassung in Form von Geschäftsprozessen.	
Prozesssichten?	<ul><li>Datensicht: Versorgung eines Prozesses mit Daten. Prozesse liefert Daten/Informationen</li><li>Struktursicht gibt an: Struktur und logische Verkettung von Tätigkeiten eines Prozesses und unterainander</li><li>Organisationssicht: Von wem wird eine Aufgabe wie innerhalb eines Prozesses erledigt, um ein bestimmtes Erlebenis zu erzielen und wer Empfänger dieser ist</li></ul>	
Modellierungsgrundsätze?	<ul><li>Richtigkeit: Syntaktisch und semantisch</li><li>Relevanz: Was ist wichtig und wer entscheidet? Need-To-Do vs Nice-To-Have</li><li>Wirtschaftlichkeit: Kosten für Neumodellierung von Prozessen</li><li>Klarheit: Allgemeine Verständlichkeit; Prozessdokumentation</li><li>Vergleichbarkeit: Nachweisbarer Nutzen im Gegensatz zu bisherigen Prozessen</li><li>Tiefe: Nicht zu detailliert; keine Selbstverständlichkeiten und Trivialitäten!</li><li>Systematischer Aufbau der Prozesssichten</li><li>Gewohnheiten hinterfragen</li><li>Vollständigkeit: Prozess beeinflussende Faktoren ermitteln</li></ul>	
Effektivität Definition (WAS)	Die richtigen Dinge tun	
Effizienz (WIE) Definition	Die richtigen Dinge RICHTIG tun	
Was bedeutet Pozessoptimierung?	Die richtigen DInge richtig zu tun	
Kritik an bestehenden Geschäftsprozessen?	<ol><li>Mangelhafte Dokumentation</li><li>Mangelhafte Datenqualität</li><li>Komplexe und intransparente Prozesse</li><li>Heterogene Methoden</li><li>Isoliertes Arbeiten</li><li>Fehlende Entscheidungsregeln in Prozessen</li><li>Unklare Verantwortung für Prozesse</li></ol>	
Weitere Krititpunkte für Prozessoptimierung	Feststellung:<br><ol><li>Informationsbeschaffung dauert zu lange</li><li>Erforderlichen Daten nicht in benötigter Form vorhanden</li><li>Daten sind intransparent</li><li>Umsetzung von Entscheidungen erfolgt schleppend oder gar nicht</li></ol>Aktionen:<br><ol><li>Ablauf und Aufbau verbessern</li><li>Unnötige Kosten reduzieren</li><li>Transparenz von Kosten</li></ol>--&gt;ansonsten gewinnt Wettbewerb<br>	
Was ist ein EInzelprozess?	<ol><li>Eine Menge an Tätigkeiten die unterainander in logischen Wechselbeziehungen stehen um dadurch einen konkreten Sachverhalt abzuarbeiten</li><li>Messbare Eingabe (Wertschöüfung) und Ausgabe&nbsp;</li><li>Wird durch definierten Auslöser gestartet</li><li>Zur Abarbeitung werden Ressourcen gebraucht/verbraucht</li><li>Eingaben sind Input</li><li>Ausgaben und Ergebnisse sind Output</li><li>Anwendung von Verfahrensvorschriften</li></ol><br>	
Nach Definition, als was ist das gesamte Unternehmensgeschen gesehen werden und was sind die Schlussfolgerungen?	Als einziger großer Prozess<br><ul><li>Sehr umfangreich und unübersichtlich</li><li>Lieber Vielzahl von Prozessgruppen und Einzelprossen (diese abgrenzen) und untereinander verbinden, um wirtchaftliche Integration und logische Wiederspruchsfreiheit zu erreichen</li></ul>	
Was ist eine Verfahrensvorschrift?	Eine Anweisung/Verabredung, die bestimmte Arbeitsweisen für innerbetriebliche Prozess-Tätigkeiten und Einzelprozesse festlegen	
Was versteht man unter Wertschöpfung?	Wertschöpfung besteht aus dem Wert eines Einzelprozesse nach der Abarbeitung der Tätigkeites der E.Prozesse (Output) reduziert um den Wert eines E.Prozeses vor der Abarbeitung (Input)	
Wie wird Wertschöpfung ermittelt?	<ol><li>Prozessdaten Analyse</li><li>Assessment</li><li>Input/Output Assessment</li><li>Benchmarking</li><li>Bauchgefühl</li></ol>	
In welchen Sichten wird Wertschöpfung bewertet?	<b>Externe </b>(bereit Betrag zu zahlen) / <b>interne </b>(für intern erbrachte benötigte Leistung) <b>Kunden </b>(als Leistungsempfänger)	
Auf welche Art lässt sich Wertschöpfung bewerten?	Skala	
Was ist eine wichtige Aufgabe zur Beurteilung von Einzelprozessen?	Wertschöpfende Einzelprozesse zu identifizieren: deren WS ist dann zu verstärken<br><br>Nicht wertschöpfende&nbsp;Einzelprozess identifizieren und diese eliminieren bzw WS erhöhen	
